,city,lat,lng
496,Dhulian,24.68,87.97
497,Kohima,25.67,94.1
498,Marmagao,15.402,73.8
499,Tripunittura,9.9528,76.3387
500,Jangipur,24.47,88.07
501,Perintalmanna,10.9765,76.2269
502,Chinnachauku,14.4732,78.8451
503,Ponnani,10.77,75.9
504,Baj Baj,22.4828,88.1818
505,Tanuku,16.75,81.7
506,Araria,26.15,87.52
507,Kuniyamuttur,10.9638,76.9525
508,Madhubani,26.37,86.08
509,Malappuram,11.0588,76.0693
510,Nerkunram,13.0667,80.2833
511,Avaniyapuram,9.8818,78.1125
512,Siuri,23.91,87.527
513,Kodungallur,10.2338,76.1946
514,Gaura,25.4961,85.9709
515,Neyyattinkara,8.4,77.08
516,Varisshiyakuni,11.64,75.587
517,Tamluk,22.3,87.92
518,Kayankulam,9.172,76.501
519,Bankra,22.63,88.3
520,Khagaul,25.579,85.0456
521,Sundapalaiyam,11.0014,76.8732
522,Nagari,13.3214,79.5856
523,Maduraivayal,13.0631,80.1719
524,Tirur,10.9,75.92
525,Poonamallee,13.0465,80.11
526,Chakapara,22.63,88.35
527,Itanagar,27.1,93.62
528,Karimganj,24.87,92.35
529,Mundka,28.6794,77.0284
530,Baruipur,22.3654,88.4325
531,Mandapeta,16.87,81.93
532,Bhimunipatnam,17.8846,83.4393
533,Pithapuram,17.1167,82.2667
534,Tirupparangunram,9.8815,78.0731
535,Madhipura,25.92,86.792
536,Amalapuram,16.5787,82.0061
537,Badurpalle,17.5468,78.365
538,Arwal,25.25,84.68
539,Kunnamkulam,10.65,76.08
540,Kendraparha,20.5,86.42
541,Changanacheri,9.4667,76.55
542,Bodupal,17.4139,78.5783
543,Pakaur,24.63,87.85
544,Manali,13.1667,80.2667
545,Bihat,25.4253,86.0208
546,Nellikkuppam,11.7667,79.6833
547,Gobardanga,22.87,88.76
548,Shertallai,9.6869,76.3361
549,Sijua,23.7692,86.1673
550,Chalungalpadam,9.6896,76.3388
551,Ramachandrapuram,16.85,82.02
552,Murshidabad,24.18,88.27
553,Diamond Harbour,22.191,88.1905
554,Dhaka,26.72,85.33
555,Varkkallai,8.734,76.7256
556,Bakhtiyarpur,25.4667,85.5167
557,Tinnanur,13.1145,80.0271
558,Palladam,10.99,77.2
559,Guruvayur,10.5947,76.0403
560,Sagauli,26.7833,84.7333
561,Porur,13.0356,80.1582
562,Phulwaria,25.4697,85.9847
563,Melmadai,9.9264,78.1503
564,Lalganj,25.87,85.18
565,Madipakkam,12.9623,80.1986
566,Amudalavalasa,18.4167,83.9
567,Tuvagudi,10.7564,78.8011
568,Kankuria,24.658,87.9794
569,Pujali,22.4679,88.1452
570,Chittaranjan,23.87,86.87
571,Panaji,15.4989,73.8278
572,Nallur,11.1003,77.3914
573,Paravurkambolam,8.8168,76.6719
574,Paravur Tekkumbhagam,8.811,76.669
575,Herohalli,12.9911,77.4873
576,Attingal,8.68,76.83
577,Dighwara,25.7443,85.01
578,Pandaul,26.2517,86.0747
579,Pappinissheri,11.95,75.35
580,Madukkarai,10.9057,76.9634
581,Bibhutpur,25.6878,85.9992
582,Pappakurichchi,10.8137,78.7481
583,Pardiguda,17.3974,78.5783
584,Waris Aliganj,25.01,85.63
585,Bangaon,25.8673,86.5115
586,Chavakkad,10.589,76.0167
587,Mangalam,10.845,75.919
588,Turkauliya,26.6079,84.8296
589,Kaippakancheri,10.938,75.987
590,Sankrail,22.57,88.24
591,Kartarpur,31.4427,75.4985
592,Pallijkarani,12.9333,80.2022
593,Elesvaram,17.2833,82.1
594,Chamtha,25.5789,85.7734
595,Singia,25.8424,86.1622
596,Kararan,30.772,76.7959
597,Vandiyur,9.9092,78.1609
598,Nauagarhi,25.3443,86.5358
599,Nagtala,22.3693,88.6071
600,Sursand,26.65,85.7167
601,Tarakeswar,22.89,88.02
602,Vilangudi,9.9458,78.0935
603,Narapalli,17.4875,78.6012
604,Nethirimangalam,10.8,76.14
605,Sabalpur,25.6053,85.1835
606,Marhaura,25.97,84.87
607,Maranga,25.7592,87.4665
608,Nibria,22.61,88.25
609,Kuli,24.7366,87.9426
610,Beldanga,23.93,88.25
611,Saranga,22.54,88.21
612,Naravarikuppam,13.1913,80.1847
613,Mirganj,26.3638,84.364
614,Virapandi,11.0625,77.3508
615,Simri Bakhriarpur,25.7216,86.5937
616,Nasriganj,25.05,84.3333
617,Kantai,26.2142,85.2975
618,Jaynagar-Majilpur,22.1752,88.4201
619,Perunkalattu,12.9182,80.0824
620,Panchla,22.54,88.14
621,Dalsingh Sarai,25.668,85.8364
622,Mamidalapadu,15.831,78.05
623,Punch,33.7703,74.0925
624,Nokha,25.1015,84.1228
625,Ghataro Chaturbhuj,25.8146,85.1862
626,Sograha,25.4798,85.9992
627,Koelwar,25.5805,84.7975
628,Baruni,25.4751,85.9681
629,Jalhalli,13.0333,77.55
630,Salua,22.61,88.27
631,Mavelikara,9.267,76.55
632,Shishgarh,28.72,79.32
633,Karunagapalli,9.0544,76.5353
634,Vilachcheri,9.8937,78.0603
635,Dharmapuram,8.3839,77.1284
636,Sandi,27.3,79.95
637,Masrakh,26.1054,84.8026
638,Simaria,25.4221,86.006
639,Sahibpur Kamal,25.4167,86.3901
640,Poranki,16.4743,80.7128
641,Panapur,25.6729,85.0715
642,Maharajgani,26.1075,84.5025
643,Alwaye,10.1167,76.35
644,Garhara,25.4407,85.9983
645,Simria,25.9663,85.8324
646,Sirkhandi Bhitha,26.6244,85.7787
647,Mairwa,26.2322,84.1635
648,Sundararaopeta,16.8031,81.6419
649,Ukkayapalle,14.4898,78.8927
650,Mahadebnagar,24.6896,87.9384
651,Karian,25.8594,86.0104
652,Singhara Buzurg,25.7964,85.4539
653,Bagalur,13.1328,77.6685
654,Jethuli,25.5378,85.2841
655,Dip,26.2369,86.3107
656,Vellalur,10.9775,77.026
